geneid,mm
GRMZM5G840111,0.87514503512609
GRMZM2G087256,0.6875
GRMZM2G702918,1
GRMZM2G389135,0
GRMZM2G026517,1
GRMZM2G329222,0.910566216046676
GRMZM5G823824,0.723512039824664
GRMZM2G407032,0.915278942644633
GRMZM2G129957,0.96304347826087
GRMZM2G301387,0.9093671679198
GRMZM5G816240,0.379256854256854
GRMZM2G301389,0.707146589652243
GRMZM5G887396,NA
GRMZM2G001289,0.00576394339787197
GRMZM2G001334,0.435055580158673
GRMZM2G122670,0.96
GRMZM2G059860,0.975858585858586
GRMZM2G362778,0.587530230925261
GRMZM5G851468,NA
GRMZM5G829285,0.861111111111111
GRMZM2G073743,0.262698412698413
GRMZM2G073861,0.411764705882353
GRMZM2G012088,0.278392094017094
GRMZM2G012628,0.22416810097533
GRMZM2G091302,0.692791884693293
GRMZM2G091251,0.833714461424018
GRMZM2G142700,0.902830313588134
GRMZM2G443445,0.00396825396825397
GRMZM2G443447,0.613405298959944
GRMZM2G302701,0.669201228878648
GRMZM2G002559,0.0496014341409078
GRMZM2G302712,0.0048780487804878
GRMZM2G302927,0.00490196078431373
GRMZM2G302936,0.00697834660098811
GRMZM5G897776,0.560606060606061
GRMZM2G076826,0.0444015444015444
GRMZM5G876898,0.0781051032952491
GRMZM2G076539,0.412037037037037
GRMZM2G076239,0.0833333333333333
GRMZM5G853854,0.00235294117647059
GRMZM2G075989,NA
GRMZM2G148998,0.958675278622087
GRMZM2G000052,0.270942890584232
GRMZM2G300500,0.0538492063492063
GRMZM2G300497,NA
GRMZM2G000047,0.0284679089026915
GRMZM2G000044,0
GRMZM2G000039,0.540248897290485
GRMZM2G084046,0.0323689553340716
GRMZM2G084181,0.600663975663976
GRMZM2G084325,0
GRMZM2G383122,0.00953654188948307
GRMZM2G107711,0.00256410256410256
GRMZM2G124560,0.142857142857143
GRMZM2G337011,NA
GRMZM2G041518,0.285682302511055
GRMZM2G165060,0
GRMZM2G165007,0.129245283018868
GRMZM2G156977,0.00280112044817927
GRMZM2G380518,0.00674157303370787
GRMZM2G080041,0.00340850581814437
GRMZM2G080054,0.1
AC188831.3_FG005,0
GRMZM2G040858,0
GRMZM5G899315,NA
GRMZM2G343713,NA
GRMZM2G040397,0.461627906976744
GRMZM2G094328,0.00346320346320346
GRMZM2G094255,0.239423076923077
AC187212.3_FG011,0
GRMZM2G539687,1
GRMZM2G089282,0.00393015913923072
GRMZM2G089273,0.00416666666666667
GRMZM2G702923,0.147713392684529
GRMZM2G388051,0.00642933455433455
GRMZM2G327680,0.9
GRMZM2G031536,0.489814814814815
GRMZM2G337532,0.238968969343439
GRMZM2G008060,0.0112179487179487
GRMZM2G007914,0.0424528301886792
GRMZM2G007791,0.241898148148148
GRMZM2G007713,0.00148809523809524
GRMZM2G007453,0.73262051734274
GRMZM2G007256,0
GRMZM2G007157,0.126789981269795
GRMZM2G102346,0.544647051914494
GRMZM5G875735,0.0016025641025641
GRMZM5G817886,0.0543650793650794
GRMZM2G342815,0.526365348399247
GRMZM2G005310,0.384331075303298
AC190685.3_FG005,0.953174603174603
GRMZM2G005155,0.389358813700919
GRMZM2G005107,0.282242926756501
GRMZM2G005040,0.00413165266106443
GRMZM2G306374,0.580082634484327
AC215994.3_FG003,0.833333333333333
